iter	Logloss
0	0.6913466879
1	0.6896497753
2	0.6879068542
3	0.6861700179
4	0.6844598066
5	0.6827055889
6	0.6809275872
7	0.679200613
8	0.6774874693
9	0.6758522121
10	0.6742781854
11	0.672541135
12	0.6709561477
13	0.6692656866
14	0.6675937548
15	0.6661268619
16	0.6644734055
17	0.6628667837
18	0.6612815253
19	0.6597164316
20	0.6582845116
21	0.6568290903
22	0.6554168871
23	0.6538873413
24	0.652398065
25	0.6508648213
26	0.6494296298
27	0.6480115791
28	0.6466751637
29	0.645384183
30	0.6439211193
31	0.6424875205
32	0.6411687797
33	0.6397500816
34	0.6383805308
35	0.6370908192
36	0.6358926282
37	0.6345467893
38	0.6331693497
39	0.6320191559
40	0.6307363115
41	0.6295214877
42	0.6283595313
43	0.6271234317
44	0.6259068929
45	0.6246403658
46	0.6236282459
47	0.622385928
48	0.6213117485
49	0.6202275503
50	0.6190496962
51	0.6179743992
52	0.6167649732
53	0.6156678643
54	0.6144965594
55	0.6134224418
56	0.6124237621
57	0.611294232
58	0.6102164553
59	0.6092484215
60	0.6081440794
61	0.6070615009
62	0.605979169
63	0.6049657003
64	0.603922833
65	0.6030244745
66	0.6019429289
67	0.6010163795
68	0.6000583427
69	0.5991101987
70	0.5981962368
71	0.5971839744
72	0.5962097656
73	0.5953311436
74	0.5943356134
75	0.5933461798
76	0.5924217448
77	0.5914982757
78	0.5905572599
79	0.5896872817
80	0.5887838302
81	0.5878331789
82	0.5869530856
83	0.5860797937
84	0.5852909834
85	0.5844156986
86	0.5836114143
87	0.5827981853
88	0.5819552157
89	0.5811520283
90	0.5804114137
91	0.5795494875
92	0.5787327028
93	0.577957071
94	0.5771228031
95	0.5763492206
96	0.5755507609
97	0.5747555186
98	0.574019618
99	0.5732422086
100	0.5724739035
101	0.5716991138
102	0.5709221244
103	0.570220229
104	0.5694740553
105	0.5687270826
106	0.5680380814
107	0.5673110798
108	0.5665883353
109	0.5658489877
110	0.5651463953
111	0.5644802963
112	0.563846614
113	0.5631731495
114	0.5624798901
115	0.5618038214
116	0.5611407461
117	0.560514279
118	0.5598511008
119	0.5591977397
120	0.5585756549
121	0.558055249
122	0.5574340999
123	0.5568050188
124	0.5562077926
125	0.5555935095
126	0.5547014668
127	0.5540865314
128	0.5534650023
129	0.552840489
130	0.5522504071
131	0.5515484106
132	0.5507040157
133	0.5501292218
134	0.5495504634
135	0.5489960807
136	0.548407781
137	0.5479033116
138	0.5471486945
139	0.5466624488
140	0.5462414672
141	0.5456612055
142	0.5452327529
143	0.5447073843
144	0.5439609308
145	0.5434290377
146	0.5430632477
147	0.5425024713
148	0.5419557194
149	0.5414624559
150	0.5409776529
151	0.5402454587
152	0.5397684607
153	0.539273065
154	0.5387524279
155	0.5382980202
156	0.5376276072
157	0.5370296485
158	0.5366160938
159	0.5361479007
160	0.5354376242
161	0.5349692024
162	0.5345546909
163	0.5340172508
164	0.5335499311
165	0.5330853078
166	0.5325742862
167	0.5321680058
168	0.5316972919
169	0.5312407213
170	0.5308479407
171	0.5303903438
172	0.5299591698
173	0.5295724241
174	0.5291733892
175	0.5287212209
176	0.5282003465
177	0.527780878
