iter	Passed	Remaining
0	150	134920
1	161	72363
2	170	51027
3	180	40364
4	188	33804
5	197	29374
6	205	26229
7	214	23867
8	221	21925
9	230	20557
10	238	19269
11	245	18169
12	253	17319
13	263	16691
14	273	16117
15	280	15505
16	289	15044
17	298	14621
18	306	14211
19	314	13852
20	322	13486
21	330	13183
22	338	12910
23	348	12729
24	356	12477
25	364	12248
26	372	12033
27	380	11861
28	390	11724
29	397	11524
30	406	11382
31	414	11230
32	421	11077
33	431	10987
34	439	10851
35	447	10739
36	454	10610
37	463	10509
38	471	10412
39	479	10312
40	487	10212
41	495	10117
42	505	10067
43	514	10005
44	521	9911
45	531	9866
46	538	9765
47	547	9709
48	555	9640
49	562	9565
50	571	9522
51	579	9449
52	587	9395
53	595	9329
54	604	9290
55	611	9221
56	621	9188
57	630	9146
58	636	9077
59	644	9024
60	653	8985
61	662	8957
62	670	8909
63	679	8874
64	687	8828
65	695	8784
66	705	8772
67	714	8744
68	723	8708
69	730	8662
70	739	8637
71	747	8594
72	756	8575
73	766	8550
74	774	8517
75	783	8495
76	792	8474
77	802	8455
78	813	8451
79	823	8442
80	832	8422
81	842	8406
82	851	8386
83	861	8366
84	870	8344
85	878	8314
86	886	8287
87	895	8260
88	903	8232
89	910	8192
90	918	8164
91	926	8141
92	937	8136
93	947	8125
94	956	8107
95	965	8083
96	974	8070
97	983	8045
98	992	8030
99	1001	8011
100	1011	8001
101	1021	7988
102	1029	7968
103	1040	7965
104	1048	7942
105	1056	7917
106	1065	7896
107	1075	7889
108	1084	7872
109	1094	7862
110	1102	7838
111	1110	7816
112	1121	7808
113	1132	7807
114	1141	7794
115	1150	7775
116	1159	7759
117	1169	7753
118	1179	7741
119	1189	7733
120	1197	7711
121	1207	7702
122	1216	7685
123	1227	7681
124	1238	7680
125	1247	7660
126	1257	7653
127	1267	7642
128	1277	7633
129	1285	7615
130	1295	7607
131	1304	7589
132	1314	7581
133	1324	7568
134	1334	7562
135	1342	7541
136	1352	7530
137	1362	7524
138	1372	7514
139	1381	7498
140	1389	7477
141	1398	7462
142	1405	7441
143	1415	7429
144	1424	7415
145	1436	7416
146	1443	7395
147	1452	7382
148	1460	7362
149	1469	7345
150	1477	7329
151	1488	7327
152	1498	7318
153	1508	7307
